['Абазовка', 'Полтавская']
['Авангард', 'Одесская']
['Авдеевка', 'Донецкая']
['Агрономичное', 'Винницкая']
['Адамовка', 'Днепропетровская']
['Адамполь', 'Хмельницкая']
['Аджамка', 'Кировоградская']
['Акимовка', 'Запорожская']
['Александрийское (Димитрово)', 'Кировоградская']
['Александрия', 'Кировоградская']
['Александрия', 'Ровенская']
['Александровка', 'Донецкая']
['Александровка', 'Запорожская']
['Александровка', 'Кировоградская']
['Александровка', 'Николаевская']
['Александровка', 'Одесская']
['Александровка', 'Херсонская']
['Александровка (Птаховка)', 'Херсонская']
['Александрополь', 'Днепропетровская']
['Алексеево-Дружковка', 'Донецкая']
['Алешки (Олешки)', 'Херсонская']
['Ананьев', 'Одесская']
['Андреевка', 'Запорожская']
['Андреевка', 'Харьковская']
['Андреево-Ивановка', 'Одесская']
['Андрушевка', 'Житомирская']
['Андрушки', 'Житомирская']
['Антонины', 'Хмельницкая']
['Антоновка', 'Ровенская']
['Антоновка', 'Херсонская']
['Аполлоновка', 'Днепропетровская']
['Апостолово', 'Днепропетровская']
['Арбузинка', 'Николаевская']
['Артемовка', 'Киевская']
['Артемовка', 'Харьковская']
['Артемово', 'Донецкая']
['Арциз', 'Одесская']
['Аскания-Нова', 'Херсонская']
['Атюша', 'Черниговская']
['Ахтырка', 'Сумская']
['Бабаи', 'Харьковская']
['Бабин', 'Ровенская']
['Бабинцы', 'Киевская']
['Базалия', 'Хмельницкая']
['Базарьянка', 'Одесская']
['Байковцы', 'Тернопольская']
['Балаклея', 'Харьковская']
['Балаклея', 'Черкасская']
['Балановка', 'Винницкая']
['Балаховка', 'Кировоградская']
['Балин', 'Хмельницкая']
['Баловка', 'Днепропетровская']
['Балта', 'Одесская']
['Балясное', 'Полтавская']
['Банилов', 'Черновицкая']
['Бар', 'Винницкая']
['Барабой', 'Одесская']
['Бараниковка', 'Луганская']
['Барановка', 'Житомирская']
['Баратовка', 'Николаевская']
['Бараши', 'Житомирская']
['Барвенково', 'Харьковская']
['Барышевка', 'Киевская']
['Батурин', 'Черниговская']
['Батьево', 'Закарпатская']
['Бахмач', 'Черниговская']
['Бахмут (Артемовск)', 'Донецкая']
['Баштанка', 'Николаевская']
['Баштанков', 'Одесская']
['Бегунь', 'Житомирская']
['Бедевля', 'Закарпатская']
['Бедриковцы', 'Хмельницкая']
['Безлюдовка', 'Харьковская']
['Белая Криница', 'Херсонская']
['Белая Церковь', 'Киевская']
['Белгород-Днестровский', 'Одесская']
['Беленькое', 'Запорожская']
['Белики', 'Полтавская']
['Белицкое', 'Донецкая']
['Белобожница', 'Тернопольская']
['Беловодск', 'Луганская']
['Белогородка', 'Киевская']
['Белогорье', 'Хмельницкая']
['Белозерка', 'Херсонская']
['Белозерское', 'Донецкая']
['Белозирка', 'Тернопольская']
['Белозорье', 'Черкасская']
['Белокоровичи', 'Житомирская']
['Белокуракино', 'Луганская']
['Белолуцк', 'Луганская']
['Белополье', 'Сумская']
['Белосарайская Коса', 'Донецкая']
['Белоусовка', 'Черкасская']
['Белоусовка', 'Черновицкая']
['Бельск', 'Полтавская']
['Бельская Воля', 'Ровенская']
['Белые Ославы', 'Ивано-Франковская']
['Белый Колодезь', 'Харьковская']
['Беляевка', 'Одесская']
['Беляки', 'Полтавская']
['Бердичев', 'Житомирская']
['Бердянск', 'Запорожская']
['Берегово', 'Закарпатская']
['Берегомет', 'Черновицкая']
['Бережаны', 'Винницкая']
['Бережаны', 'Тернопольская']
['Березанка', 'Николаевская']
['Березань', 'Киевская']
['Берездов', 'Хмельницкая']
['Березино', 'Одесская']
['Березна', 'Черниговская']
['Березнеговатое', 'Николаевская']
['Березно', 'Ровенская']
['Березовая Лука', 'Полтавская']
['Березовая Рудка', 'Полтавская']
['Березовка', 'Одесская']
['Березовое', 'Днепропетровская']
['Березовое', 'Ровенская']
['Березовское', 'Харьковская']
['Берестечко', 'Волынская']
['Берестовенька', 'Харьковская']
['Берислав', 'Херсонская']
['Бершадь', 'Винницкая']
['Бехтеры', 'Херсонская']
['Бибрка', 'Львовская']
['Билогородка', 'Хмельницкая']
['Бильмак (Куйбышево)', 'Запорожская']
['Бильче-Золотое', 'Тернопольская']
['Бирки', 'Харьковская']
['Благовещенка', 'Запорожская']
['Благовещенское', 'Кировоградская']
['Благодатное', 'Волынская']
['Благодатное', 'Николаевская']
['Благодатное', 'Херсонская']
['Благодатное (Чапаевка)', 'Черкасская']
['Близнюки', 'Харьковская']
['Бобрик Первый', 'Одесская']
['Бобринец', 'Кировоградская']
['Бобрка', 'Львовская']
['Бобровица', 'Черниговская']
['Богдан', 'Закарпатская']
['Богдановка', 'Днепропетровская']
['Богдановка', 'Киевская']
['Богдановка', 'Кировоградская']
['Богодухов', 'Харьковская']
['Богодуховка', 'Черкасская']
['Боголюбы', 'Волынская']
['Богородчаны', 'Ивано-Франковская']
['Богуслав', 'Киевская']
['Боевое', 'Донецкая']
['Божедаровка (Щорск)', 'Днепропетровская']
['Болград', 'Одесская']
['Болехов', 'Ивано-Франковская']
['Большие Бирки', 'Тернопольская']
['Большая Белозерка', 'Запорожская']
['Большая Березовица', 'Тернопольская']
['Бондаревка', 'Житомирская']
['Бондаревка', 'Луганская']
['Бондари', 'Житомирская']
['Боратин', 'Волынская']
['Боржавское', 'Закарпатская']
['Борзна', 'Черниговская']
['Борислав', 'Львовская']
['Борисов', 'Хмельницкая']
['Борисполь', 'Киевская']
['Борки', 'Волынская']
['Боровая', 'Киевская']
['Боровая', 'Харьковская']
['Боровица', 'Черкасская']
['Боровское', 'Луганская']
['Бородянка', 'Киевская']
['Боромля', 'Сумская']
['Боронява', 'Закарпатская']
['Борсуки', 'Тернопольская']
['Борщев', 'Тернопольская']
['Ботиево', 'Запорожская']
['Бочечки', 'Сумская']
['Бояны', 'Черновицкая']
['Боярка', 'Киевская']
['Братское', 'Николаевская']
['Брацлав', 'Винницкая']
['Бреусовка', 'Полтавская']
['Бригадировка', 'Полтавская']
['Брилевка', 'Херсонская']
['Броварки', 'Полтавская']
['Бровары', 'Киевская']
['Брод', 'Закарпатская']
['Броды', 'Львовская']
['Броницкая Гута', 'Житомирская']
['Брошнив-Осада', 'Ивано-Франковская']
['Брусилов', 'Житомирская']
['Брюховичи', 'Львовская']
['Бугаевка', 'Харьковская']
['Бугрин', 'Ровенская']
['Бугское', 'Николаевская']
['Буданов', 'Тернопольская']
['Будеи', 'Одесская']
['Буды', 'Харьковская']
['Бужанка', 'Черкасская']
['Бузаки', 'Волынская']
['Бузовая', 'Киевская']
['Бузовка', 'Черкасская']
['Буки', 'Черкасская']
['Буковое', 'Закарпатская']
['Булаховка', 'Днепропетровская']
['Бурлача Балка', 'Одесская']
['Бурштын', 'Ивано-Франковская']
['Бурынь', 'Сумская']
['Буск', 'Львовская']
['Буцинь (Буцин)', 'Волынская']
['Буча', 'Киевская']
['Бучач', 'Тернопольская']
['Бучманы', 'Житомирская']
['Буштыно', 'Закарпатская']
['Быковка', 'Житомирская']
['Былбасовка', 'Донецкая']
['Бырловка', 'Винницкая']
['Бышев', 'Киевская']
['Вакуленчук', 'Житомирская']
['Вакулово (Жовтневое)', 'Днепропетровская']
['Валки', 'Харьковская']
['Валява', 'Черкасская']
['Вапнярка', 'Винницкая']
['Вапнярка', 'Одесская']
['Вараш', 'Ровенская']
['Варва', 'Черниговская']
['Варваровка', 'Днепропетровская']
['Варваровка', 'Полтавская']
['Варковичи', 'Ровенская']
['Васильевка', 'Запорожская']
['Васильевка', 'Одесская']
['Васильевка', 'Сумская']
