['Абазівка', 'Полтавська']
['Авангард', 'Одеська']
['Авдіївка', 'Донецька']
['Агрономічне', 'Вінницька']
['Адамівка', 'Дніпропетровська']
['Адамполь', 'Хмельницька']
['Аджамка', 'Кіровоградська']
['Акимівка', 'Запорізька']
['Олександрійське (Димитрово)', 'Кіровоградська']
['Олександрія', 'Кіровоградська']
['Олександрія', 'Рівненська']
['Олександрівка', 'Донецька']
['Олександрівка', 'Запорізька']
['Олександрівка', 'Кіровоградська']
['Олександрівка', 'Миколаївська']
['Олександрівка', 'Одеська']
['Олександрівка', 'Херсонська']
['Олександрівка (Птаховка)', 'Херсонська']
['Олександрополь', 'Дніпропетровська']
['Олексієво-Дружківка', 'Донецька']
['Олешки', 'Херсонська']
['Ананьїв', 'Одеська']
['Андріївка', 'Запорізька']
['Андріївка', 'Харківська']
['Андріїво-Іванівка', 'Одеська']
['Андрушівка', 'Житомирська']
['Андрушки', 'Житомирська']
['Антонини', 'Хмельницька']
['Антонівка', 'Рівненська']
['Антонівка', 'Херсонська']
['Аполлонівка', 'Дніпропетровська']
['Апостолове', 'Дніпропетровська']
['Арбузинка', 'Миколаївська']
['Артемівка', 'Київська']
['Артемівка', 'Харківська']
['Артемово', 'Донецька']
['Арциз', 'Одеська']
['Асканія-Нова', 'Херсонська']
['Атюша', 'Чернігівська']
['Ахтырка', 'Сумская']
['Ахтирка', 'Сумська']
['Бабаї', 'Харківська']
['Бабин', 'Рівненська']
['Бабинці', 'Київська']
['Базалія', 'Хмельницька']
['Базарянка', 'Одеська']
['Байковці', 'Тернопільська']
['Балаклея', 'Харківська']
['Балаклея', 'Черкаська']
['Балановка', 'Вінницька']
['Балахівка', 'Кіровоградська']
['Балін', 'Хмельницька']
['Баловка', 'Дніпропетровська']
['Балта', 'Одеська']
['Балясне', 'Полтавська']
['Банилів', 'Чернівецька']
['Бар', 'Вінницька']
['Барабой', 'Одеська']
['Бараниківка', 'Луганська']
['Баранівка', 'Житомирська']
['Баратівка', 'Миколаївська']
['Бараши', 'Житомирська']
['Барвенкове', 'Харківська']
['Баришівка', 'Київська']
['Батурин', 'Чернігівська']
['Батьово', 'Закарпатська']
['Бахмач', 'Чернігівська']
['Бахмут (Артемівськ)', 'Донецька']
['Баштанка', 'Миколаївська']
['Баштанков', 'Одеська']
['Бігунь', 'Житомирська']
['Бедевля', 'Закарпатська']
['Бедриківці', 'Хмельницька']
['Безлюдівка', 'Харківська']
['Біла Криниця', 'Херсонська']
['Біла Церква', 'Київська']
['Білгород-Дністровський', 'Одеська']
['Біленьке', 'Запорізька']
['Білики', 'Полтавська']
['Білицьке', 'Донецька']
['Білобожниця', 'Тернопільська']
['Біловодськ', 'Луганська']
['Білогородка', 'Київська']
['Белогорье', 'Хмельницкая']
['Білозерка', 'Херсонська']
['Білозерське', 'Донецька']
['Білозірка', 'Тернопільська']
['Білозор\'є', 'Черкаська']
['Білокоровичі', 'Житомирська']
['Білокуракино', 'Луганська']
['Білолуцьк', 'Луганська']
['Білопілля', 'Сумська']
['Білосарайська коса', 'Донецька']
['Білоусівка', 'Черкаська']
['Білоусівка', 'Чернівецька']
['Більськ', 'Полтавська']
['Більська Воля', 'Рівненська']
['Білі Ослави', 'Івано-Франківська']
['Білий Колодязь', 'Харківська']
['Біляївка', 'Одеська']
['Біляки', 'Полтавська']
['Бердичів', 'Житомирська']
['Бердянськ', 'Запорізька']
['Берегове', 'Закарпатська']
